catnr;catnrstring;bez_de;bez_en;bez_fr;bez_ru
10101300;10101300;"19""-Blindplatte 1HE, 3mm Al el";"19""-Front Panel 1U, in 3mm Al.";"Plaque 19"" 1U, 3mm alu, anod 1";"19""-Front Panel 1U, in 3mm Al."
10121300;10121300;"19""-Blindplatte 12HE, 3mm , el";"19""-Front Panel 12U, in 3mm Al";"Plaque 19"" 12U, 3mm alu, anod";"19""-Front Panel 12U, in 3mm Al"
10151300;10151300;"19""-Blindplatte 15HE, 3mm , el";"19""-Front Panel 15U, in 3mm Al";"Plaque 19"" 15U, 3mm alu, anod";"19""-Front Panel 15U, in 3mm Al"
10201300;10201300;"19""-Blindplatte 2HE, 3mm Al el";"19""-Front Panel 2U, in 3mm Al.";"Plaque 19"" 2U, 3mm alu, anod 1";"19""-Front Panel 2U, in 3mm Al."
10301300;10301300;"19""-Blindplatte 3HE, 3mm Al el";"19""-Front Panel 3U, in 3mm Al.";"Plaque 19"" 3U, 3mm alu, anod 1";"19""-Front Panel 3U, in 3mm Al."
10401300;10401300;"19""-Blindplatte 4HE, 3mm , elo";"19""-Front Panel 4U, in 3mm Al.";"Plaque 19"" 4U, 3mm alu, anod 1";"19""-Front Panel 4U, in 3mm Al."
10501300;10501300;"19""-Blindplatte 5HE, 3mm , elo";"19""-Front Panel 5U, in 3mm Al.";"Plaque 19"" 5U, 3mm alu, anod 1";"19""-Front Panel 5U, in 3mm Al."
10601300;10601300;"19""-Blindplatte 6HE, 3mm , elo";"19""-Front Panel 6U, in 3mm Al.";"Plaque 19"" 6U, 3mm alu, anod 1";"19""-Front Panel 6U, in 3mm Al."
10701300;10701300;"19""-Blindplatte 7HE, 3mm , elo";"19""-Front Panel 7U, in 3mm Al.";"Plaque 19"" 7U, 3mm alu, anod 1";"19""-Front Panel 7U, in 3mm Al."
10801300;10801300;"19""-Blindplatte 8HE, 3mm Al.,";"19""-Front Panel 8U, in 3mm Al.";"Plaque 19"" 8U, 3mm alu, anod 1";"19""-Front Panel 8U, in 3mm Al."
10901300;10901300;"19""-Blindplatte 9HE, 3mm , elo";"19""-Front Panel 9U, in 3mm Al.";"Plaque 19"" 9U, 3mm alu, anod 1";"19""-Front Panel 9U, in 3mm Al."
20000001;20000001;Sequenz 1HE/125B/209T, elox.,;Case Sequence 1U/125W/209D, anod-1,;Coffret Séquentiel 1U/125L/209P/anod.,;Case Sequence 1U/125W/209D, anod-1,
20000002;20000002;Sequenz 2HE/125B/209T, elox.,;Case Sequence 2U/125W/209D, anod-1,;Coffret Séquentiel 2U/125L/209P/anod.,;Case Sequence 2U/125W/209D, anod-1,
20000003;20000003;Sequenz 1HE/260B/209T, elox.,;Case Sequence 1U/260W/209D, anod-1,;Coffret Séquentiel 1U/260L/209P/anod.,;Case Sequence 1U/260W/209D, anod-1,
20000004;20000004;Sequenz 2HE/260B/209T, elox.,;Case Sequence 2U/260W/209D, anod-1,;Coffret Séquentiel 2U/260L/209P/anod.,;Case Sequence 2U/260W/209D, anod-1,
20000005;20000005;Sequenz 1HE/125B/264T, elox.,;Case Sequence 1U/125W/264D, anod-1,;Coffret Séquentiel 1U/125L/264P/anod.,;Case Sequence 1U/125W/264D, anod-1,
20000006;20000006;Sequenz 2HE/125B/264T, elox.,;Case Sequence 2U/125W/264D, anod-1,;Coffret Séquentiel 2U/125L/264P/anod.,;Case Sequence 2U/125W/264D, anod-1,
20000007;20000007;Sequenz 1HE/260B/264T, elox.,;Case Sequence 1U/260W/264D, anod-1,;Coffret Séquentiel 1U/260L/264P/anod.,;Case Sequence 1U/260W/264D, anod-1,
20000008;20000008;Sequenz 2HE/260B/264T, elox.,;Case Sequence 2U/260W/264D, anod-1,;Coffret Séquentiel 2U/260L/264P/anod.,;Case Sequence 2U/260W/264D, anod-1,
20000009;20000009;Sequenz 1HE/172B/209T, elox.,;Case Sequence 1U/172W/209D, anod-1,;Coffret Séquentiel 1U/172L/209P/anod.,;Case Sequence 1U/172W/209D, anod-1,
20000010;20000010;Sequenz 1HE/172B/264T, elox.,;Case Sequence 1U/172W/264D, anod-1,;Coffret Séquentiel 1U/172L/264P/anod.,;Case Sequence 1U/172W/264D, anod-1,
20000011;20000011;Sequenz 1HE/125B/209T, elox.,;Case Sequence 1U/125W/209D, anod-1;Coffret Séquentiel 1U/125L/209P/anod.,;Case Sequence 1U/125W/209D, anod-1
20000012;20000012;Sequenz 2HE/125B/209T, elox.,;Case Sequence 2U/125W/209D, anod-1;Coffret Séquentiel 2U/125L/209P/anod.,;Case Sequence 2U/125W/209D, anod-1
20000013;20000013;Sequenz 1HE/260B/209T, elox.,;Case Sequence 1U/260W/209D, anod-1;Coffret Séquentiel 1U/260L/209P/anod.,;Case Sequence 1U/260W/209D, anod-1
20000014;20000014;Sequenz 2HE/260B/209T, elox.,;Case Sequence 2U/260W/209D, anod-1;Coffret Séquentiel 2U/260L/209P/anod.,;Case Sequence 2U/260W/209D, anod-1
20000015;20000015;Sequenz 1HE/125B/264T, elox.,;Case Sequence 1U/125W/264D, an;Coffret Séquentiel 1U/125L/264P/anod.,;Case Sequence 1U/125W/264D, an
20000016;20000016;Sequenz 2HE/125B/264T, elox.,;Case Sequence 2U/125W/264D, anod-1;Coffret Séquentiel 2U/125L/264P/anod.,;Case Sequence 2U/125W/264D, anod-1
20000017;20000017;Sequenz 1HE/260B/264T, elox.,;Case Sequence 1U/260W/264D, anod-1;Coffret Séquentiel 1U/260L/264P/anod.,;Case Sequence 1U/260W/264D, anod-1
20000018;20000018;Sequenz 2HE/260B/264T, elox.,;Case Sequence 2U/260W/264D, an;Coffret Séquentiel 2U/260L/264P/anod.,;Case Sequence 2U/260W/264D, an
20000019;20000019;Sequenz 1HE/172B/209T, elox.,;Case Sequence 1U/172W/209D, anod-1;Coffret Séquentiel 1U/172L/209P/anod.,;Case Sequence 1U/172W/209D, anod-1
20000020;20000020;Sequenz 1HE/172B/264T, elox.,;Case Sequence 1U/172W/264D, an;Coffret Séquentiel 1U/172L/264P/anod.,;Case Sequence 1U/172W/264D, an
20000021;20000021;Sequenz 1HE/125B/209T, RAL7035;Case Sequence 1U/125W/209D, RAL 703;Coffret Séquentiel 1U/125L/209P/RAL703;Case Sequence 1U/125W/209D, RAL 703
20000022;20000022;Sequenz 2HE/125B/209T, RAL7035;Case Sequence 2U/125W/209D, RAL 703;Coffret Séquentiel 2U/125L/209P/RAL703;Case Sequence 2U/125W/209D, RAL 703
20000023;20000023;Sequenz 1HE/260B/209T, RAL7035;Case Sequence 1U/260W/209D, RAL 703;Coffret Séquentiel 1U/260L/209P/RAL703;Case Sequence 1U/260W/209D, RAL 703
20000024;20000024;Sequenz 2HE/260B/209T, RAL7035;Case Sequence 2U/260W/209D, RA;Coffret Séquentiel 2U/260L/209P/RAL703;Case Sequence 2U/260W/209D, RA
20000025;20000025;Sequenz 1HE/125B/264T, RAL7035;Case Sequence 1U/125W/264D, RA;Coffret Séquentiel 1U/125L/264P/RAL703;Case Sequence 1U/125W/264D, RA
20000026;20000026;Sequenz 2HE/125B/264T, RAL7035;Case Sequence 2U/125W/264D, RA;Coffret Séquentiel 2U/125L/264P/RAL703;Case Sequence 2U/125W/264D, RA
20000027;20000027;Sequenz 1HE/260B/264T, RAL7035;Case Sequence 1U/260W/264D, RA;Coffret Séquentiel 1U/260L/264P/RAL703;Case Sequence 1U/260W/264D, RA
20000028;20000028;Sequenz 2HE/260B/264T, RAL7035;Case Sequence 2U/260W/264DP;Coffret Séquentiel 2U/260L/264;Case Sequence 2U/260W/264DP
20000029;20000029;Sequenz 1HE/172B/209T, RAL7035;Case Sequence 1U/172W/209D, RAL 703;Coffret Séquentiel 1U/172L/209P/RAL703;Case Sequence 1U/172W/209D, RAL 703
20000030;20000030;Sequenz 1HE/172B/264T, RAL7035;Case Sequence 1U/172W/264D, RA;Coffret Séquentiel 1U/172L/264P/RAL703;Case Sequence 1U/172W/264D, RA
20000031;20000031;Sequenz 1HE/125B/209T, RAL7035;Case Sequence 1U/125W/209D, RA;Coffret Séquentiel 1U/125L/209P/RAL703;Case Sequence 1U/125W/209D, RA
20000032;20000032;Sequenz 2HE/125B/209T, RAL7035;Case Sequence 2U/125W/209D, RA;Coffret Séquentiel 2U/125L/209P/RAL703;Case Sequence 2U/125W/209D, RA
20000033;20000033;Sequenz 1HE/260B/209T, RAL7035;Case Sequence 1U/260W/209D, RA;Coffret Séquentiel 1U/260L/209P/RAL703;Case Sequence 1U/260W/209D, RA
20000034;20000034;Sequenz 2HE/260B/209T, RAL7035;Case Sequence 2U/260W/209D, RA;Coffret Séquentiel 2U/260L/209P/RAL703;Case Sequence 2U/260W/209D, RA
20000035;20000035;Sequenz 1HE/125B/264T, RAL7035;Case Sequence 1U/125W/264D, RA;Coffret Séquentiel 1U/125L/264P/RAL703;Case Sequence 1U/125W/264D, RA
20000036;20000036;Sequenz 2HE/125B/264T, RAL7035;Case Sequence 2U/125W/264D, RA;Coffret Séquentiel 2U/125L/264P/RAL703;Case Sequence 2U/125W/264D, RA
20000037;20000037;Sequenz 1HE/260B/264T, RAL7035;Case Sequence 1U/260W/264D, RA;Coffret Séquentiel 1U/260L/264P/RAL703;Case Sequence 1U/260W/264D, RA
20000038;20000038;Sequenz 2HE/260B/264T, RAL7035;Case Sequence 2U/260W/264D, RA;Coffret Séquentiel 2U/260L/264;Case Sequence 2U/260W/264D, RA
20000039;20000039;Sequenz 1HE/172B/209T, RAL7035;Case Sequence 1U/172W/209D, RA;Coffret Séquentiel 1U/172L/209P/RAL703;Case Sequence 1U/172W/209D, RA
20000040;20000040;Sequenz 1HE/172B/264T, RAL7035;Case Sequence 1U/172W/264D, RA;Coffret Séquentiel 1U/172L/264P/RAL703;Case Sequence 1U/172W/264D, RA
20215001;20215001;HF-Front/Rückplatte 1HE/125B,e;RFI front/rear panel 1U/125W,;Plaque arr1U/125L,av.anod/ar.alo;RFI front/rear panel 1U/125W,
20215002;20215002;HF-Front/Rückplatte 2HE/125B,e;RFI front/rear panel 2U/125W,;Plaque arr2U/125L,av.anod/ar.alo;RFI front/rear panel 2U/125W,
20215003;20215003;HF-Front/Rückplatte 1HE/260B,e;RFI front/rear panel 1U/260W,;Plaque arr1U/260L,av.anod/ar.alo;RFI front/rear panel 1U/260W,
20215004;20215004;HF-Front/Rückplatte 2HE/260B,e;Sequence RFI Front-/rearpanel;Plaque arr2U/260L,av.anod/ar.alo;Sequence RFI Front-/rearpanel
20217000;20217000;Trage- u. Aufstellgriff B=125,;Carrying/support handle 125W f;Poignée béquille L=125, pour S;Carrying/support handle 125W f
20217001;20217001;Trage- u. Aufstellgriff B=260,;Carrying/support handle W=260;Poignée béquille L=260;Carrying/support handle W=260
20415001;20415001;Front-/Rückplatte 1HE/125B elo;Front-/ rear panel Sequence 1U;Plaque front./arrière 1U/125L,;Front-/ rear panel Sequence 1U
20415002;20415002;Front-/Rückplatte 2HE/125B, el;Front-/ rear panel Sequence 2U;Plaque front./arrière 2U/125L,;Front-/ rear panel Sequence 2U
20415003;20415003;Front-/Rückplatte 1HE/260B, el;Front-/ rear panel Sequence 1U;Plaque front./arrière 1U/260L,;Front-/ rear panel Sequence 1U
20415004;20415004;Front-/Rückplatte 2HE/260B, el;Front-/rearpanel 2U/260W, anod;Plaque front./arrière 2U/260L,;Front-/rearpanel 2U/260W, anod
